Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
14.67992904,26.12278366,-18.09895325,-46.81936646,56.58643839
14.68992883,26.11886597,-18.08123779,-46.40591431,56.23731148
14.69992783,26.31276703,-18.13549805,-46.76611328,56.64209874
14.70992783,26.49317169,-18.35617065,-46.61825562,56.67538182
14.71992783,26.40606689,-18.32197571,-46.83630371,56.80329663
14.72992683,26.21350861,-18.24862671,-46.84051514,56.69386447
14.73992683,26.31456375,-18.09895325,-46.61877441,56.50963194
14.74992583,26.3185997,-17.96170044,-46.78292847,56.60330175
14.75992583,26.47241974,-18.14660645,-46.79641724,56.74498214
14.76992483,26.39421082,-18.2552948,-46.756073,56.71014473
14.77992483,26.12057877,-18.02906799,-46.42282104,56.23531134
14.78992383,26.25468063,-17.9405365,-46.68444824,56.48547435
14.79992383,26.33308029,-18.01760864,-46.85159302,56.68454028
14.80992283,26.31264877,-18.1725769,-46.60528564,56.52124102
14.81992283,26.04901886,-18.27101135,-46.48269653,56.32958651
14.82992183,26.31680298,-17.94372559,-46.38256836,56.26627813
14.83992183,26.19726181,-18.21875,-46.64242554,56.51314217
14.84992083,26.33306885,-18.38679504,-46.73727417,56.70870783
14.85992083,26.30885696,-18.41584778,-46.83792114,56.78987816
14.86991983,26.16844177,-18.33758545,-46.74142456,56.61991836
14.87991983,26.08936691,-18.41029358,-46.20605469,56.16576774
14.88991883,26.15913391,-18.15019226,-46.42242432,56.29183995
14.89991883,25.97805023,-18.30644226,-46.33203125,56.18400165
14.90991783,26.24964523,-18.3838501,-46.25320435,56.2704961
14.91991783,26.12805557,-18.23965454,-46.62976074,56.47738373
14.92991683,26.13834763,-18.24925232,-46.19754028,56.12896895
14.93991683,26.2691803,-18.19889832,-46.34317017,56.29350899
14.94991583,26.22812653,-18.05378723,-46.5569458,56.40392767
14.95991583,25.88829422,-18.26036072,-46.78884888,56.50522923
14.96991483,26.20849991,-18.31047058,-46.80108643,56.67892458
14.97991483,26.29105377,-18.24028015,-46.72683716,56.63324677
14.98991483,26.19783783,-18.28443909,-46.75408936,56.62678069
14.99991383,26.27650452,-18.40510559,-46.79501343,56.73601927
15.00991383,26.31138229,-18.359375,-46.53146362,56.52019635
15.01991283,26.39063644,-18.22946167,-46.91888428,56.83450243
15.02991283,26.41633606,-18.10369873,-46.54351807,56.49659983
15.03991183,26.32161713,-18.10255432,-46.73779297,56.61228924
15.04991183,26.41750717,-17.96717834,-46.50296021,56.42011601
15.05991083,26.38607025,-18.23265076,-46.64889526,56.61072059
15.06991083,26.37561798,-18.26127625,-46.72894287,56.68105094
15.07990983,26.50832748,-18.29902649,-46.67404175,56.70989305
15.08990983,26.30677795,-18.31054688,-46.52859497,56.49984817
15.09990883,26.0255394,-18.15463257,-46.92980957,56.65091712
15.10990883,26.2556839,-18.07337952,-46.95498657,56.75190524
15.11990783,26.39194107,-18.10978699,-46.61642456,56.54723669
15.12990783,26.53130341,-18.05984497,-46.49963379,56.50030091
15.13990683,26.45634842,-18.08760071,-46.42874146,56.41566896
15.14990683,26.39128494,-18.06907654,-46.46279907,56.40729692
15.15990583,26.29135895,-17.9707489,-46.36172485,56.24582565
15.16990583,26.08842468,-18.08345032,-46.6239624,56.40399762
15.17990483,26.38941193,-18.09017944,-46.58197021,56.51137587
15.18990483,26.29055023,-18.17219543,-46.57028198,56.48196953
15.19990383,26.36692429,-17.86584473,-46.75119019,56.56922209
15.20990383,26.5508728,-18.01211548,-46.82946777,56.76604797
15.21990283,26.2535553,-18.08789063,-46.59356689,56.45689886
15.22990283,26.243927,-17.99891663,-46.7505188,56.55365339
15.23990183,26.1001091,-18.22190857,-46.9147644,56.6943451
